tweet_id,user_community,user_active_status,retweet_count_metadata,quote_count_metadata,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users,date
1320107186241048579,1,active,7182,3552,15,43,1458,530,2526,1459,414,275,37,34,711,401,2020_10
1320107370312323073,1,active,22217,9158,79,116,4841,1407,11373,5858,216,79,100,37,3901,1506,2020_10
1320117044612943872,1,active,34530,10199,76,103,8812,1835,16370,5831,91,27,420,99,5490,2822,2020_10
1320127627471032322,1,active,6887,1201,21,8,1296,246,3809,798,35,9,38,4,1560,329,2020_10
1320127775731273734,1,active,7315,2399,9,12,804,287,2382,978,23,7,21,9,799,243,2020_10
1320137224638197761,1,active,4866,2311,24,15,1258,379,2147,2119,8,6,36,12,406,281,2020_10
1320140370882297857,1,suspended,2011,653,2,2,159,69,1220,482,3,1,4,2,495,169,2020_10
1320159537194700801,1,suspended,760,192,2,3,72,32,541,119,1,1,5,4,186,27,2020_10
1320160474672095232,1,active,14948,3736,33,23,3272,706,7551,1893,41,12,107,22,2592,522,2020_10
1320169998782992386,1,active,6550,1646,10,5,758,186,3594,939,13,1,25,2,1242,291,2020_10
1320344340250714112,1,active,13281,3370,30,23,3097,525,6058,1872,20,6,54,13,1946,457,2020_10
1321154238957948929,1,active,7361,1013,14,3,1587,185,4326,593,6,1,8,1,1245,167,2020_10
1321225762083659778,1,active,10558,1492,24,4,1916,247,6617,971,13,3,26,4,2181,329,2020_10
1321481854751526915,1,active,28136,6833,49,28,6379,1470,16807,5110,41,8,102,38,5235,1535,2020_10
1321487180854824960,1,active,8550,772,8,4,1414,122,5411,523,11,1,40,2,1702,127,2020_10
1321490841865801728,1,active,1271,116,1,1,194,10,788,77,3,1,4,1,255,17,2020_10
1321495174409785345,1,active,4480,663,12,3,1013,123,2699,521,1,1,9,1,957,192,2020_10
1321868906651250688,1,active,7532,868,9,2,1258,111,4996,656,15,1,50,5,1618,206,2020_10
1322180123748143105,1,active,2953,336,7,8,310,34,2001,239,3,1,7,1,703,76,2020_10
1322491483199574016,1,active,6880,1792,21,16,1423,316,3622,1302,7,2,37,8,1199,303,2020_10
1322501158569693192,1,active,2733,315,3,2,251,31,1791,213,1,1,5,2,671,55,2020_10
1323615834455994373,1,active,28345,8030,45,35,1497,399,3798,1628,81,12,89,25,1022,376,2020_11
1323627525134786560,1,active,5787,570,19,8,943,83,3373,365,6,1,11,3,933,106,2020_11
1323709868419747842,1,active,5181,367,8,2,330,36,3495,266,15,3,15,2,1240,112,2020_11
1323766232068333570,1,active,3561,685,40,11,483,56,1837,296,11,1,17,2,658,98,2020_11
1323852668419231744,1,active,2769,149,8,5,232,15,1927,85,6,1,19,2,642,22,2020_11
1323880399236329472,1,active,12375,1767,15,8,1484,143,4032,727,6,1,17,1,1110,206,2020_11
1323890578627522560,1,active,4789,303,8,5,510,59,1929,302,5,2,8,1,559,82,2020_11
1323891926282752002,1,active,5494,4492,102,548,690,81,1874,198,43,10,31,7,823,114,2020_11
1323894612465979393,1,active,1629,181,3,11,116,8,926,79,1,1,24,3,275,24,2020_11
1323895278454398977,1,active,4419,566,69,44,625,39,1744,112,6,1,18,2,600,62,2020_11
1323898024100323329,1,active,10020,539,20,4,1176,46,5426,321,18,3,52,5,1706,79,2020_11
1323899799968600065,1,active,8666,451,27,5,1026,33,3388,204,12,1,24,1,981,51,2020_11
1323905975565250560,1,active,4960,380,21,5,670,37,2384,176,16,1,105,8,770,51,2020_11
1323925413870161927,1,suspended,6875,585,4,4,419,45,3622,303,6,2,18,1,1131,73,2020_11
1323935439309492224,1,active,3857,1167,6,4,369,116,1681,637,2,1,5,5,461,201,2020_11
1323974153142177794,1,active,8848,2552,19,8,870,249,2270,1053,6,9,44,16,664,249,2020_11
1323984127054516226,1,active,15908,965,17,13,1178,51,2702,213,48,2,18,3,753,50,2020_11
1323984541434945536,1,active,10364,3384,17,6,1187,295,2008,865,13,4,29,9,498,262,2020_11
1323996716157308929,1,active,8889,998,13,8,728,62,1532,209,30,6,51,9,414,67,2020_11
1323998204350914563,1,active,4112,500,2,4,205,19,987,136,7,1,6,4,337,41,2020_11
1324016459534708738,1,suspended,3844,652,2,2,209,41,827,180,10,3,16,2,313,72,2020_11
1324032129408356352,1,active,20968,1474,16,5,913,62,4852,457,8,1,31,4,1592,150,2020_11
1324046198362300424,2,active,8463,2466,3,2,20,101,2328,979,8,4,24,19,557,289,2020_11
1324060101125296130,1,suspended,5778,2275,3,2,426,137,964,649,2,13,25,23,280,238,2020_11
1324061237139939330,1,active,9294,2314,40,45,711,125,1527,332,12,3,100,38,485,123,2020_11
1324064583355494400,1,active,15526,3026,21,13,1986,135,2014,415,1187,274,283,110,682,140,2020_11
