"domain","tweet_count","retweet_count_metadata","quote_count_metadata","tweet_count_by_community_0","retweet_count_by_community_0","quote_count_by_community_0","tweet_count_by_community_1","retweet_count_by_community_1","quote_count_by_community_1","tweet_count_by_community_2","retweet_count_by_community_2","quote_count_by_community_2","tweet_count_by_community_3","retweet_count_by_community_3","quote_count_by_community_3","tweet_count_by_community_4","retweet_count_by_community_4","quote_count_by_community_4","tweet_count_by_suspended_users","retweet_count_by_suspended_users","quote_count_by_suspended_users"
"nytimes.com",746,5420,814,487,2161,177,3,4,25,18,24,106,1,0,0,0,0,2,8,32,36
"deadstate.org",54,2224,242,39,1472,136,0,0,1,1,15,4,0,0,0,0,0,0,1,21,8
"washingtonpost.com",157,3038,415,120,1327,158,1,2,2,9,12,1,0,0,0,0,0,0,2,23,7
"washingtonpost.com",103,1334,179,91,1079,134,0,0,0,1,16,5,0,0,0,0,0,0,1,8,6
"washingtonpost.com",3,945,511,3,831,327,0,6,9,0,29,26,0,0,0,0,1,0,0,11,11
"rawstory.com",171,2594,350,132,862,143,0,0,1,2,9,4,0,0,0,0,0,0,4,17,2
"cnn.com",478,695,114,318,596,75,0,0,2,60,16,17,0,0,0,0,0,0,7,17,5
"cnn.com",3,836,793,2,604,365,0,2,2,0,11,7,0,0,0,0,2,0,1,9,7
"washingtonpost.com",1,1557,186,1,826,76,0,1,2,0,14,9,0,0,0,0,1,0,0,14,6
"independent.co.uk",9,3093,5527,2,661,164,0,0,3,0,3,13,0,1,0,0,1,0,0,4,1
"news.yahoo.com",29,912,87,21,720,61,1,0,1,0,10,1,0,0,0,0,0,0,1,13,3
"nypost.com",2,2882,4541,0,249,507,1,107,22,0,11,84,0,1,3,0,3,5,0,7,39
"news.yahoo.com",26,633,133,18,578,110,0,0,1,0,6,2,0,0,0,0,0,0,1,6,2
"independent.co.uk",105,627,161,51,548,55,1,2,4,5,11,12,0,4,6,0,0,0,2,9,11
"newsweek.com",4,569,155,4,502,140,0,0,1,0,10,0,0,0,0,0,1,0,0,8,3
"news.yahoo.com",5,481,103,2,433,83,0,0,0,1,2,1,0,0,0,0,1,0,0,7,7
"washingtonpost.com",1,629,111,1,434,61,0,0,0,0,8,13,0,0,0,0,0,0,0,9,3
"foxnews.com",264,41078,6543,14,61,401,27,3250,264,93,7790,966,4,345,39,8,483,34,62,2555,305
"foxnews.com",1,553,32,1,439,20,0,0,0,0,7,0,0,0,0,0,0,0,0,4,1
"washingtonpost.com",29,789,102,20,377,35,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
"washingtonpost.com",1,404,140,1,345,41,0,0,3,0,1,6,0,0,0,0,1,0,0,4,3
"washingtonpost.com",4,362,98,3,326,55,0,0,1,1,6,13,0,0,0,0,0,0,0,4,4
"thehill.com",1,290,729,1,105,265,0,0,5,0,15,10,0,0,0,0,3,0,0,7,13
"rawstory.com",51,294,83,43,264,58,1,0,0,1,5,3,0,0,0,0,0,0,0,5,3
"deadstate.org",27,307,73,15,276,55,0,0,1,1,3,0,0,0,0,0,0,0,2,6,1
"rawstory.com",54,265,44,49,251,38,0,0,0,0,4,1,0,0,0,0,0,0,0,2,1
"washingtonpost.com",1,342,25,1,315,19,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0
"politicususa.com",76,301,58,60,210,36,0,0,0,4,1,1,0,0,0,0,0,0,2,3,1
"washingtonpost.com",4,302,60,3,260,41,0,1,1,1,5,4,0,0,0,0,0,0,1,4,2
"deadstate.org",23,263,70,15,231,54,0,0,0,3,4,3,0,0,0,0,0,0,0,7,4
"rawstory.com",49,382,83,43,213,39,0,0,0,0,2,0,0,0,0,0,0,0,1,7,1
"nytimes.com",4,414,74,4,245,43,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2
"news.yahoo.com",13,291,21,8,266,18,0,0,0,1,3,1,0,0,0,0,0,0,0,6,1
"news.yahoo.com",6,299,10,3,272,7,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0
"cnn.com",2,255,140,1,212,66,0,1,3,0,5,5,0,0,0,0,0,0,0,1,1
"rawstory.com",3,880,185,3,221,47,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3
"rawstory.com",11,533,107,10,221,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"politicususa.com",32,208,44,30,192,43,0,0,0,0,4,3,0,0,0,0,0,0,1,5,2
"washingtonpost.com",1,433,96,1,238,20,0,0,10,0,5,21,0,0,0,0,1,0,0,7,4
"thedailybeast.com",18,471,82,15,211,30,0,0,0,1,3,1,0,3,1,0,0,0,1,5,1
"newsweek.com",2,273,65,2,206,48,0,2,2,0,17,7,0,1,0,0,0,0,0,3,0
"politicususa.com",88,226,35,11,209,34,0,0,0,0,2,1,0,0,0,0,0,0,70,8,2
"nytimes.com",151,190,81,69,151,27,2,6,11,6,11,14,0,0,0,0,0,0,0,3,3
"newsweek.com",4,254,74,4,200,39,0,1,1,0,4,1,0,1,0,0,0,0,0,1,2
"cnn.com",3,227,62,2,208,27,0,1,0,0,2,19,0,0,0,0,0,0,0,5,9
"washingtonpost.com",2,236,76,2,197,36,0,1,2,0,6,9,0,0,0,0,0,0,0,3,4
"politicususa.com",49,230,13,44,175,10,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0
"newsweek.com",1,235,21,1,212,16,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0
"washingtonpost.com",3,371,115,3,176,41,0,0,2,0,1,4,0,0,0,0,0,0,0,2,2
"cnn.com",251,66,2,154,62,3,1,0,0,9,3,0,0,0,0,0,0,0,6,3,0
"washingtonpost.com",32,311,61,27,170,19,0,0,0,1,2,3,0,0,0,0,0,0,1,1,0
"nytimes.com",241,89,6,144,65,5,1,1,0,7,2,0,0,0,0,0,0,0,1,0,0
"cnn.com",2,252,46,1,194,18,0,1,1,0,2,6,0,0,0,0,0,0,0,2,1
"cnn.com",2,502,86,2,182,21,0,2,1,0,1,8,0,0,0,0,0,0,0,5,3
"rawstory.com",24,208,22,24,165,14,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0
"rawstory.com",41,194,33,34,145,22,1,0,0,1,2,0,0,0,0,0,0,0,2,3,0
"cnn.com",3,209,38,1,183,17,0,1,3,1,3,6,0,0,0,0,0,0,0,1,2
"washingtonpost.com",18,209,18,12,173,16,0,1,1,1,10,1,0,0,0,0,1,0,0,5,1
"cnn.com",152,98,24,104,81,15,0,0,1,7,1,0,0,0,0,0,0,0,8,1,1
"rawstory.com",31,203,23,26,157,15,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1
"washingtonpost.com",1,226,20,1,182,15,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0
"washingtonpost.com",80,107,36,59,102,34,1,0,0,2,0,2,0,0,0,0,0,0,3,0,0
"msn.com",107,111,17,78,99,16,0,0,0,7,2,1,0,0,0,0,0,0,1,2,2
"cnn.com",2,187,42,1,173,14,0,0,1,0,4,8,0,0,0,0,0,0,0,1,3
"washingtonpost.com",1,180,46,1,162,23,0,2,2,0,3,5,0,0,0,0,0,0,0,6,1
"rawstory.com",39,249,26,33,138,12,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1
"cnn.com",1,361,43,1,168,13,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
"rawstory.com",32,211,79,27,108,44,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2
"news.yahoo.com",10,552,74,7,148,21,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"rawstory.com",56,142,37,51,92,30,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0
"washingtonpost.com",1,185,25,1,161,11,0,2,1,0,3,1,0,0,0,0,0,0,0,4,2
"msn.com",5,168,14,4,155,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"independent.co.uk",3,743,277,2,142,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"nytimes.com",139,56,7,103,53,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"rawstory.com",25,138,21,24,119,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"rawstory.com",1,155,16,1,143,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"washingtonpost.com",32,298,48,27,111,20,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1
"rawstory.com",43,308,140,33,79,45,0,0,0,5,2,2,0,0,0,0,0,0,3,1,0
"thehill.com",7,367,168,7,106,41,0,0,0,0,2,5,0,0,0,0,0,0,0,4,1
"rawstory.com",25,133,3,23,123,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
"newsweek.com",4,381,276,4,88,57,0,0,1,0,3,5,0,0,0,0,0,0,1,0,2
"thedailybeast.com",90,85,10,69,72,8,0,1,0,5,4,1,0,0,0,0,0,0,7,4,0
"theguardian.com",94,59,7,78,60,11,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"thedailybeast.com",108,60,11,85,50,13,1,0,0,4,5,2,0,0,0,0,0,0,1,2,1
"thehill.com",3,122,87,3,102,42,0,1,2,0,11,6,0,0,0,0,0,0,0,2,1
"independent.co.uk",40,257,59,28,104,12,0,0,0,1,1,1,0,1,0,0,1,0,1,4,1
"rawstory.com",1,193,37,1,120,21,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
"rawstory.com",47,97,19,40,85,17,0,0,1,3,2,0,0,0,0,0,0,0,2,0,0
"news.yahoo.com",7,414,61,5,124,12,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0
"washingtonpost.com",1,196,29,1,130,10,0,1,0,0,0,5,0,1,0,0,0,0,0,2,3
"politicususa.com",53,97,10,48,80,12,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0
"politicususa.com",47,142,20,41,80,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"cnn.com",16,414,36,11,120,7,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1
"deadstate.org",14,93,42,11,87,38,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1
"politicususa.com",29,221,45,25,91,19,0,0,0,1,3,1,0,0,0,0,0,0,0,2,1
"rawstory.com",52,75,18,48,68,18,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2
"washingtonpost.com",2,150,20,2,120,11,0,2,1,0,4,2,0,0,0,0,0,0,0,3,1
"newsweek.com",26,282,184,14,72,46,0,0,0,0,2,1,0,0,0,0,0,0,1,2,2
"foxnews.com",3,174,27,2,112,18,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"cnn.com",2,92,83,2,83,46,0,0,3,0,2,12,0,0,0,0,0,0,0,0,0
"washingtonpost.com",75,60,12,64,54,13,0,0,0,2,3,1,0,0,0,0,0,0,1,0,2
"washingtonpost.com",1,131,24,1,114,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"politicususa.com",34,113,9,26,93,9,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1
"youtube.com",1,342,40,1,121,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1
"theguardian.com",118,50,12,68,46,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"cnn.com",2,125,20,1,109,12,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0
"rawstory.com",43,94,7,29,85,8,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1
"rawstory.com",40,215,29,38,70,13,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0
"rawstory.com",55,70,6,49,62,10,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0
"rawstory.com",12,98,16,12,91,18,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"washingtonpost.com",65,97,31,54,52,14,1,3,3,1,28,12,0,0,0,0,1,0,0,8,4
"nytimes.com",30,0,0,26,85,9,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2
"rawstory.com",41,224,29,36,78,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"youtube.com",230,11,0,110,7,1,4,0,0,7,0,0,0,0,0,0,0,0,8,0,0
"news.yahoo.com",183,28,5,95,20,3,2,0,0,12,6,0,0,0,0,0,0,0,1,3,1
"cnn.com",112,45,3,77,38,3,1,0,0,3,1,0,0,0,0,0,0,0,4,1,0
"legislationline.org",148,19221,1973,0,24,92,30,2021,161,73,5628,509,0,25,2,0,119,8,26,1793,139
"thehill.com",2,362,265,2,51,63,0,4,21,0,205,114,0,5,2,0,6,1,0,56,40
"nytimes.com",32,94,9,23,83,10,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
"washingtonpost.com",4,312,31,4,102,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"rawstory.com",2,193,89,2,77,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"rawstory.com",67,50,4,61,48,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"nytimes.com",78,73,8,40,69,5,0,0,0,2,1,2,0,0,0,0,0,0,1,2,0
"rawstory.com",54,60,12,46,56,12,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0
"washingtonpost.com",2,140,10,1,106,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"theguardian.com",102,52,3,65,45,2,0,0,0,1,1,1,0,0,0,0,0,0,3,1,0
"politicususa.com",35,62,24,31,56,25,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0
"theguardian.com",2,114,14,1,101,8,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1
"rawstory.com",22,94,6,20,84,6,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0
"independent.co.uk",1,91,36,1,83,24,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"rawstory.com",27,71,10,25,75,8,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"rawstory.com",3,103,11,3,97,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"nytimes.com",1,112,6,1,100,5,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"washingtonpost.com",4,111,22,3,95,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"cnn.com",46,136,12,31,66,6,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0
"youtube.com",154,13,1,89,11,2,0,0,0,7,5,0,0,0,0,0,0,0,1,0,0
"youtube.com",1,120,21,1,97,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"pscp.tv",1,115,11,1,92,8,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
"rawstory.com",40,125,16,30,61,9,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1
