user_id,user_community,user_active_status,closeness_centrality_detractor_cluster,closeness_centrality_promoter_cluster,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
16585101,2,suspended,,0.2633402013749426,12,2,56,77,11798,1097,40,8,38,1,5103,329
17936949,1,suspended,,0.27263909499989397,17,6,1042,135,15642,1061,71,3,97,5,5023,281
21943446,1,suspended,,0.22539347158653525,1,3,71,23,2357,286,6,1,60,1,849,95
23317891,1,suspended,,0.27742862637116733,25,2,1229,158,23258,1201,116,5,130,2,9882,401
23360808,2,suspended,,0.2596384194248579,12,3,44,73,14669,1051,20,3,29,7,6913,288
24822993,1,suspended,,0.3004267984798161,65,86,4069,613,70963,5199,191,35,293,43,30375,1986
25073877,1,suspended,,0.45482667262739335,6257,29941,292242,26607,863596,94552,37414,3556,32117,2326,291398,28156
30692806,2,suspended,,0.23280133459774074,2,4,26,22,8943,684,4,2,14,2,4313,243
36934558,2,suspended,,0.24329500581475386,8,6,39,94,20686,1988,12,11,30,4,7690,603
37862226,2,suspended,,0.25368400374083055,11,10,184,274,11068,2698,139,51,64,12,4536,694
39785748,2,deleted,,0.2571167832385016,6,6,27,32,6880,537,12,4,18,2,2742,173
49023129,1,suspended,,0.26903565587464884,52,10,3713,253,74310,2474,358,19,476,13,39229,1047
51586310,1,suspended,,0.23742211030136817,8,9,773,161,13138,1148,17,4,30,7,6201,453
53745076,2,suspended,,0.24968790276717093,1,4,18,14,5212,418,8,1,6,1,2319,121
56491860,2,suspended,,0.25184124235666233,2,1,47,74,12478,1233,7,1,9,3,4894,394
63327519,1,suspended,,0.26177789527071144,18,5,967,261,25671,2590,88,14,225,30,13071,1161
66053650,2,suspended,,0.2418599144435537,9,4,61,97,11983,1528,10,4,11,1,4932,462
69190453,2,suspended,,0.2711952817126315,12,12,119,134,15570,1631,50,4,47,4,5877,409
